,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,ud_3d
0,20170116,에듀파트너,891,91,,,,,,,0
1,20170117,에듀파트너,891,4192,0.0,0.0,,,,4101.0,0
2,20170118,에듀파트너,892,1102,1.0,0.1122,891.3333333333334,,1.122334455667789,-3090.0,0
3,20170119,에듀파트너,901,4,9.0,1.009,894.6666666666666,,-12.457912457912458,-1098.0,0
4,20170120,에듀파트너,780,11,-121.0,-13.4295,857.6666666666666,-7.928197456993277,-12.443946188340806,7.0,0
5,20170123,에듀파트너,781,3,1.0,0.1282,820.6666666666666,-12.742175856929954,-13.318534961154274,-8.0,0
6,20170124,에듀파트너,781,3,0.0,0.0,780.6666666666666,-4.391760590750093,15.128205128205128,0.0,0
7,20170125,에듀파트너,898,1,117.0,14.9808,820.0,10.032493907392368,31.88220230473752,-2.0,0
8,20170126,에듀파트너,1030,6,132.0,14.6993,903.0,32.7070879590094,51.08834827144686,5.0,1
9,20170131,에듀파트너,1180,89,150.0,14.5631,1036.0,30.691056910569113,11.915367483296215,83.0,0
10,20170201,에듀파트너,1005,21,-175.0,-14.8305,1071.6666666666667,16.648209671465477,-5.339805825242718,-68.0,0
11,20170202,에듀파트너,975,1011,-30.0,-2.9851,1053.3333333333333,-0.25740025740026473,-5.084745762711865,990.0,0
12,20170203,에듀파트너,1120,10,145.0,14.8718,1033.3333333333333,5.132192846034214,27.860696517412936,-1001.0,0
13,20170206,에듀파트너,1285,10,165.0,14.7321,1126.6666666666667,22.78481012658228,51.28205128205128,0.0,1
14,20170207,에듀파트너,1475,1102,190.0,14.786,1293.3333333333333,43.70967741935485,51.33928571428571,1092.0,1
15,20170208,에듀파트너,1695,10,220.0,14.9153,1485.0,42.45562130177514,28.01556420233463,-1092.0,0
16,20170209,에듀파트너,1645,700,-50.0,-2.9499,1605.0,22.293814432989702,-4.745762711864407,690.0,0
17,20170210,에듀파트너,1405,1,-240.0,-14.5897,1581.6666666666667,-4.713804713804714,-29.49852507374631,-699.0,-1
18,20170213,에듀파트너,1195,1,-210.0,-14.9466,1415.0,-24.714434060228456,-37.68996960486322,0.0,-1
19,20170214,에듀파트너,1025,1,-170.0,-14.2259,1208.3333333333333,-28.451001053740775,-16.370106761565836,0.0,0
20,20170215,에듀파트너,1175,203,150.0,14.6341,1131.6666666666667,-24.61719670200235,-16.317991631799163,202.0,0
21,20170216,에듀파트너,1000,7710,-175.0,-14.8936,1066.6666666666667,-16.52413793103448,-16.975609756097562,7507.0,0
22,20170217,에듀파트너,851,1,-149.0,-14.9,1008.6666666666666,-21.11929307805597,-29.617021276595747,-7709.0,-1
23,20170220,에듀파트너,827,1201,-24.0,-2.8202,892.6666666666666,-25.468750000000007,-29.299999999999997,1200.0,-1
24,20170221,에듀파트너,707,2,-120.0,-14.5103,795.0,-22.43886318572372,-4.465334900117509,-1199.0,0
25,20170222,에듀파트너,813,1400,106.0,14.9929,782.3333333333334,-17.363704256908143,-16.203143893591292,1398.0,0
26,20170223,에듀파트너,693,2,-120.0,-14.7601,737.6666666666666,-8.637316561844859,-4.809052333804809,-1398.0,0
27,20170224,에듀파트너,673,1501,-20.0,-2.886,726.3333333333334,-17.341286749041338,-29.397293972939732,1499.0,-1
28,20170227,에듀파트너,574,2,-99.0,-14.7103,646.6666666666666,-13.827383642114777,-4.761904761904762,-1499.0,0
29,20170228,에듀파트너,660,1,86.0,14.9826,635.6666666666666,-17.622762735199633,-16.64190193164933,-1.0,0
30,20170302,에듀파트너,561,1,-99.0,-15.0,598.3333333333334,-8.041237113402062,-1.9163763066202089,0.0,0
31,20170303,에듀파트너,563,1,2.0,0.3565,594.6666666666666,-11.484006292606189,-14.545454545454545,0.0,0
32,20170306,에듀파트너,564,1,1.0,0.1776,562.6666666666666,-5.793871866295277,0.53475935828877,0.0,0
33,20170307,에듀파트너,564,1,0.0,0.0,563.6666666666666,-9.809417040358733,-14.564831261101244,0.0,0
34,20170308,에듀파트너,481,1,-83.0,-14.7163,536.3333333333334,-5.33175355450237,-1.950354609929078,0.0,0
35,20170309,에듀파트너,553,2100,72.0,14.9688,532.6666666666666,-7.09639266706091,-4.787234042553192,2099.0,0
36,20170310,에듀파트너,537,1801,-16.0,-2.8933,523.6666666666666,-3.791174642635184,-4.781704781704782,-299.0,0
37,20170313,에듀파트너,458,2,-79.0,-14.7114,516.0,-4.818523153942421,-4.882459312839059,-1799.0,0
38,20170314,에듀파트너,526,1,68.0,14.8472,507.0,-3.246339910884776,-0.186219739292365,-1.0,0
39,20170315,에듀파트너,536,1,10.0,1.9011,506.6666666666667,2.2609819121446955,13.755458515283841,0.0,0
40,20170316,에듀파트너,521,1901,-15.0,-2.7985,527.6666666666666,4.733727810650888,1.9011406844106464,1900.0,0
41,20170317,에듀파트너,536,1901,15.0,2.8791,531.0,3.486842105263162,-3.731343283582089,0.0,0
42,20170320,에듀파트너,516,3,-20.0,-3.7313,524.3333333333334,-0.9475679090334808,-0.9596928982725527,-1898.0,0
43,20170321,에듀파트너,516,10,0.0,0.0,522.6666666666666,-7.59573132454488,-17.91044776119403,7.0,0
44,20170322,에듀파트너,440,2,-76.0,-14.7287,490.6666666666667,-7.056579783852522,-1.937984496124031,-8.0,0
45,20170323,에듀파트너,506,1,66.0,15.0,487.3333333333333,-12.117346938775507,-16.27906976744186,-1.0,0
46,20170324,에듀파트너,432,2,-74.0,-14.6245,459.3333333333333,-2.5815217391304386,12.727272727272727,1.0,0
47,20170327,에듀파트너,496,2300,64.0,14.8148,478.0,2.462380300957592,12.648221343873518,2298.0,0
48,20170328,에듀파트너,570,1,74.0,14.9194,499.3333333333333,18.722786647314962,31.944444444444443,-2299.0,0
49,20170329,에듀파트너,570,1,0.0,0.0,545.3333333333334,19.246861924686193,14.919354838709678,0.0,0
50,20170330,에듀파트너,570,1,0.0,0.0,570.0,19.826435246996006,14.912280701754385,0.0,0
51,20170331,에듀파트너,655,1,85.0,14.9123,598.3333333333334,14.914425427872846,14.912280701754385,0.0,0
52,20170403,에듀파트너,655,1,0.0,0.0,626.6666666666666,20.643274853801163,32.10526315789474,0.0,0
53,20170404,에듀파트너,753,2,98.0,14.9618,687.6666666666666,24.456824512534805,26.106870229007633,1.0,0
54,20170405,에듀파트너,826,1,73.0,9.6946,744.6666666666666,27.925531914893618,26.106870229007633,-1.0,0
55,20170406,에듀파트너,826,1,0.0,0.0,801.6666666666666,25.496849248666997,24.43559096945551,0.0,0
